Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Cancellation comments,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Departure delay comments,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Arrival delay comments,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Year,Month,Delay category,Rate Cancel train,Rate delay train,Go to Paris
2018-01-01,NATIONAL,PARIS LYON,CHAMBERY CHALLES LES EAUX,186.0,271.0,0.0,,46.0,13.59311594,2.047478475,NC,36.0,39.0712963,5.813653137,,26.0,5.813653137,17.0,5.0,14.70588235,26.47058824,20.58823529,32.35294118,5.882352941,0.0,2018,January,Minimum delay,0.0,13.284132841328415,False
2018-01-01,NATIONAL,VALENCE ALIXAN TGV,PARIS LYON,132.0,280.0,2.0,,130.0,11.22217949,5.252158273,,48.0,39.12465278,5.893585132,,45.0,5.893585132,21.0,7.0,17.5,37.5,12.5,25.0,2.5,5.0,2018,January,Minimum delay,0.7142857142857143,17.142857142857142,True
2018-01-01,INTERNATIONAL,STUTTGART,PARIS EST,185.0,154.0,5.0,Non communiqué,124.0,4.631989247,3.918232662,,12.0,34.57777778,4.045525727,Non communiqué,12.0,4.045525727,4.0,1.0,41.66666667,25.0,0.0,16.66666667,0.0,16.66666667,2018,January,Minimum delay,3.2467532467532463,7.792207792207792,True
2018-01-01,NATIONAL,PARIS MONTPARNASSE,ANGERS SAINT LAUD,90.0,385.0,3.0,,49.0,8.362585034,0.730104712,,52.0,19.84358974,4.24943281,,22.0,4.24943281,8.0,1.0,21.42857143,23.80952381,21.42857143,23.80952381,9.523809524,0.0,2018,January,Minimum delay,0.7792207792207793,13.506493506493506,False
2018-01-01,NATIONAL,PARIS MONTPARNASSE,ANGOULEME,126.0,239.0,4.0,,36.0,6.347685185,0.751560284,,28.0,18.02202381,4.113191489,,15.0,4.113191489,3.0,0.0,15.38461538,38.46153846,19.23076923,23.07692308,3.846153846,0.0,2018,January,Minimum delay,1.6736401673640167,11.715481171548117,False
2018-01-01,NATIONAL,PARIS MONTPARNASSE,BREST,223.0,281.0,1.0,,39.0,8.1,0.75172619,,19.0,46.57894737,4.860714286,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",19.0,4.826241135,7.0,4.0,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0,2018,January,Minimum delay,0.3558718861209964,6.761565836298933,False
2018-01-01,NATIONAL,RENNES,PARIS MONTPARNASSE,99.0,599.0,4.0,,238.0,7.589985994,3.0667507,,148.0,18.50022523,5.850420168,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",51.0,5.840604027,16.0,6.0,20.23809524,35.71428571,17.85714286,16.66666667,4.761904762,4.761904762,2018,January,Minimum delay,0.667779632721202,24.707846410684475,True
2018-01-01,NATIONAL,METZ,PARIS EST,85.0,307.0,1.0,Non communiqué,128.0,8.046614583,3.431263617,,64.0,14.51614583,3.320098039,,17.0,3.320098039,8.0,0.0,18.91891892,8.108108108,37.83783784,29.72972973,2.702702703,2.702702703,2018,January,Minimum delay,0.32573289902280134,20.846905537459286,True
2018-01-01,NATIONAL,NANCY,PARIS EST,93.0,306.0,1.0,,71.0,8.252347418,1.981857923,,33.0,15.96212121,1.192568306,,13.0,1.192568306,5.0,0.0,21.05263158,21.05263158,36.84210526,10.52631579,5.263157895,5.263157895,2018,January,Minimum delay,0.32679738562091504,10.784313725490197,True
2018-01-01,NATIONAL,LILLE,LYON PART DIEU,190.0,292.0,8.0,,122.0,10.04112022,4.375234742,,36.0,56.1587963,7.582805164,,31.0,7.582805164,22.0,13.0,40.0,30.0,5.0,20.0,5.0,0.0,2018,January,Minimum delay,2.73972602739726,12.32876712328767,False
2018-01-01,NATIONAL,PARIS NORD,LILLE,64.0,568.0,5.0,,98.0,8.828911565,1.499230314,,97.0,21.02491409,4.133274127,,40.0,4.133274127,15.0,6.0,38.0952381,21.42857143,9.523809524,21.42857143,9.523809524,0.0,2018,January,Minimum delay,0.8802816901408451,17.077464788732392,False
2018-01-01,NATIONAL,NANTES,PARIS VAUGIRARD,143.0,62.0,0.0,,15.0,13.87111111,3.647043011,,6.0,47.28055556,5.310215054,,5.0,5.310215054,3.0,1.0,0.0,50.0,0.0,16.66666667,16.66666667,16.66666667,2018,January,Minimum delay,0.0,9.67741935483871,True
2018-01-01,NATIONAL,NICE VILLE,PARIS LYON,346.0,197.0,0.0,,84.0,9.961309524,4.370642978,,33.0,46.82525253,8.570981387,,33.0,8.570981387,20.0,8.0,38.70967742,25.80645161,9.677419355,19.35483871,0.0,6.451612903,2018,January,Minimum delay,0.0,16.751269035532996,True
2018-01-01,NATIONAL,PARIS LYON,GRENOBLE,180.0,262.0,0.0,,40.0,9.715,1.226208651,,40.0,34.38666667,6.618193384,,32.0,6.618193384,15.0,8.0,15.385,25.64102564,28.20512821,28.20512821,2.564102564,0.0,2018,January,Minimum delay,0.0,15.267175572519085,False
2018-01-01,NATIONAL,PARIS LYON,MONTPELLIER,209.0,294.0,0.0,,47.0,12.22801418,1.626247166,,37.0,39.01036036,4.363038549,,37.0,4.363038549,19.0,6.0,25.71428571,45.71428571,11.42857143,14.28571429,2.857142857,0.0,2018,January,Minimum delay,0.0,12.585034013605442,False
2018-01-01,INTERNATIONAL,LAUSANNE,PARIS LYON,219.0,144.0,3.0,,110.0,3.083181818,2.491489362,,21.0,30.352,4.70248227,,22.0,4.70248227,9.0,2.0,28.57142857,14.28571429,33.33333333,9.523809524,0.0,14.28571429,2018,January,Minimum delay,2.083333333333333,14.583333333333334,True
2018-01-01,INTERNATIONAL,PARIS LYON,BARCELONA,387.0,62.0,0.0,,16.0,11.94479167,2.667741935,,8.0,49.5,8.55,,8.0,8.548387097,4.0,1.0,12.5,37.5,25.0,25.0,0.0,0.0,2018,January,Minimum delay,0.0,12.903225806451612,False
2018-01-01,NATIONAL,LA ROCHELLE VILLE,PARIS MONTPARNASSE,165.0,222.0,0.0,,8.0,2.875,0.095795796,,34.0,21.52401961,5.696096096,,22.0,5.696096096,5.0,0.0,15.38461538,30.76923077,38.46153846,11.53846154,3.846153846,0.0,2018,January,Minimum delay,0.0,15.315315315315313,True
2018-01-01,NATIONAL,PARIS MONTPARNASSE,BORDEAUX ST JEAN,143.0,775.0,7.0,,148.0,9.377815315,1.582530382,,79.0,25.47911392,2.546961806,,45.0,2.546961806,21.0,4.0,21.66666667,25.0,11.66666667,40.0,1.666666667,0.0,2018,January,Minimum delay,0.903225806451613,10.193548387096774,False
2018-01-01,NATIONAL,PARIS MONTPARNASSE,RENNES,97.0,590.0,1.0,,79.0,10.08860759,1.029654782,,107.0,21.10280374,4.968336163,,35.0,4.968336163,12.0,7.0,12.65822785,41.7721519,18.98734177,24.05063291,2.53164557,0.0,2018,January,Minimum delay,0.1694915254237288,18.135593220338983,False
2018-01-01,NATIONAL,PARIS MONTPARNASSE,ST MALO,156.0,102.0,0.0,,12.0,19.9125,1.966666667,,13.0,48.62307692,6.790686275,-,8.0,6.724757282,6.0,4.0,23.07692308,46.15384615,7.692307692,15.38461538,7.692307692,0.0,2018,January,Minimum delay,0.0,12.745098039215685,False
2018-01-01,NATIONAL,PARIS MONTPARNASSE,TOULOUSE MATABIAU,257.0,182.0,1.0,,38.0,10.4122807,1.958747698,,21.0,57.18095238,6.779558011,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",21.0,6.779558011,17.0,7.0,47.61904762,28.57142857,0.0,19.04761905,4.761904762,0.0,2018,January,Minimum delay,0.5494505494505495,11.538461538461538,False
2018-01-01,NATIONAL,PARIS EST,STRASBOURG,112.0,494.0,9.0,,49.0,6.267006803,0.576323024,NC,14.0,27.3,0.77814433,,11.0,0.77814433,5.0,1.0,25.0,8.333333333,8.333333333,50.0,8.333333333,0.0,2018,January,Minimum delay,1.8218623481781375,2.834008097165992,False
2018-01-01,NATIONAL,STRASBOURG,PARIS EST,112.0,507.0,7.0,,239.0,7.218828452,3.5573,,46.0,24.83876812,2.675233333,,34.0,2.675233333,11.0,1.0,35.8974359,12.82051282,17.94871795,15.38461538,5.128205128,12.82051282,2018,January,Minimum delay,1.3806706114398422,9.072978303747535,True
2018-01-01,NATIONAL,MARSEILLE ST CHARLES,LILLE,307.0,187.0,2.0,,40.0,8.270416667,1.778288288,,37.0,45.59459459,10.79558559,,37.0,10.79558559,19.0,7.0,32.25806452,35.48387097,9.677419355,12.90322581,3.225806452,6.451612903,2018,January,Minimum delay,1.06951871657754,19.786096256684495,False
2018-01-01,NATIONAL,AVIGNON TGV,PARIS LYON,159.0,538.0,0.0,,109.0,11.68730887,2.113475836,,88.0,31.96856061,5.797924411,,62.0,5.797924411,35.0,12.0,36.47058824,24.70588235,16.47058824,18.82352941,0.0,3.529411765,2018,January,Minimum delay,0.0,16.356877323420075,True
2018-01-01,NATIONAL,LYON PART DIEU,PARIS LYON,120.0,659.0,3.0,,384.0,6.344574653,3.823424797,,85.0,26.8054902,4.030614837,,53.0,4.030614837,20.0,6.0,26.66666667,24.0,26.66666667,17.33333333,5.333333333,0.0,2018,January,Minimum delay,0.4552352048558422,12.898330804248861,True
2018-01-01,NATIONAL,LYON PART DIEU,MONTPELLIER,112.0,303.0,5.0,,168.0,12.66438492,7.26303132,,49.0,38.8292517,6.859731544,,34.0,6.859731544,19.0,8.0,30.76923077,33.33333333,10.25641026,17.94871795,7.692307692,0.0,2018,January,Minimum delay,1.65016501650165,16.17161716171617,False
2018-01-01,NATIONAL,MULHOUSE VILLE,PARIS LYON,168.0,328.0,8.0,,106.0,6.577044025,2.199895833,-,24.0,34.37361111,2.280208333,,19.0,2.280208333,8.0,4.0,37.5,12.5,29.16666667,4.166666667,4.166666667,12.5,2018,January,Minimum delay,2.4390243902439024,7.317073170731707,True
2018-01-01,NATIONAL,PARIS LYON,DIJON VILLE,96.0,468.0,6.0,,62.0,11.56935484,1.227525253,,40.0,31.12083333,3.146212121,,32.0,3.146212121,16.0,4.0,14.28571429,40.0,17.14285714,25.71428571,2.857142857,0.0,2018,January,Minimum delay,1.282051282051282,8.547008547008547,False
2018-01-01,NATIONAL,PARIS LYON,VALENCE ALIXAN TGV,130.0,323.0,0.0,,47.0,12.06631206,1.415995872,,44.0,33.97272727,5.24122807,,33.0,5.24122807,17.0,7.0,15.0,30.0,25.0,25.0,5.0,0.0,2018,January,Minimum delay,0.0,13.622291021671826,False
2018-01-01,NATIONAL,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,168.0,118.0,0.0,,12.0,6.373611111,0.575564972,,13.0,30.64358974,4.12019774,,7.0,4.12019774,4.0,2.0,40.0,30.0,20.0,0.0,10.0,0.0,2018,January,Minimum delay,0.0,11.016949152542372,True
2018-01-01,INTERNATIONAL,GENEVE,PARIS LYON,194.0,230.0,1.0,,161.0,3.735817805,2.861863173,,36.0,40.26990741,7.178238719,,36.0,7.178238719,19.0,7.0,69.44444444,16.66666667,5.555555556,0.0,5.555555556,2.777777778,2018,January,Minimum delay,0.43478260869565216,15.65217391304348,True
2018-01-01,NATIONAL,ANGERS SAINT LAUD,PARIS MONTPARNASSE,91.0,393.0,2.0,-,204.0,6.400490196,3.455754476,,77.0,24.27424242,6.0728474,,35.0,6.0728474,19.0,4.0,37.5,37.5,8.928571429,5.357142857,8.928571429,1.785714286,2018,January,Minimum delay,0.5089058524173028,19.59287531806616,True
2018-01-01,NATIONAL,PARIS MONTPARNASSE,LE MANS,54.0,441.0,2.0,,62.0,10.47446237,1.174867122,Non communiqué,65.0,16.90461538,2.997570235,,22.0,2.997570235,9.0,3.0,28.94736842,26.31578947,10.52631579,26.31578947,5.263157895,2.631578947,2018,January,Minimum delay,0.45351473922902497,14.73922902494331,False
2018-01-01,NATIONAL,STRASBOURG,NANTES,286.0,40.0,1.0,,9.0,4.151851852,0.898717949,NC,5.0,46.75333333,8.574786325,,5.0,8.574786325,2.0,2.0,20.0,20.0,40.0,20.0,0.0,0.0,2018,January,Minimum delay,2.5,12.5,False
2018-01-01,NATIONAL,ARRAS,PARIS NORD,51.0,312.0,4.0,,118.0,8.863983051,3.56525974,,64.0,22.25078125,5.351785714,"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultats composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV.",16.0,5.352,9.0,5.0,24.32432432,21.62162162,35.13513514,13.51351351,5.405405405,0.0,2018,January,Minimum delay,1.282051282051282,20.51282051282051,True
2018-01-01,NATIONAL,PARIS NORD,ARRAS,51.0,287.0,5.0,,50.0,8.698333333,1.477186761,,40.0,17.36916667,2.908333333,,15.0,2.908333333,5.0,2.0,41.66666667,25.0,8.333333333,19.44444444,5.555555556,0.0,2018,January,Minimum delay,1.7421602787456445,13.937282229965156,False
2018-01-01,NATIONAL,BORDEAUX ST JEAN,PARIS VAUGIRARD,144.0,62.0,0.0,,15.0,22.39444444,5.397580645,,9.0,45.39,6.180913978,"7656 du 2 + 26: Alerte à la bombe à BX
7656 du 9 +43: Soin matériel roulant (défaut onduleur)
7656 du 25 +50: Accident de personne à LE
7658 du 1 +52: Tempête CARMEN
7658 du 7 +41: Dérangement de signalisation MPW
7658 du 25 +77: Accident de personne LE",7.0,6.180913978,5.0,2.0,11.11111111,11.11111111,22.22222222,55.55555556,0.0,0.0,2018,January,Minimum delay,0.0,14.516129032258066,True
2018-01-01,NATIONAL,TOURCOING,BORDEAUX ST JEAN,286.0,31.0,0.0,,5.0,8.4,1.35483871,,7.0,47.86428571,12.04408602,"7839 du 23 +310: Accident de personne
7839 du 21 +58: obstacle sur voie ou aux abords",7.0,12.04408602,3.0,1.0,0.0,0.0,33.33333333,66.66666667,0.0,0.0,2018,January,Minimum delay,0.0,22.58064516129032,False
2018-01-01,NATIONAL,TOURCOING,MARSEILLE ST CHARLES,309.0,31.0,1.0,,0.0,0.0,0.0,,1.0,58.88333333,2.345,7669 du 25 +159: Accident de personne,1.0,2.345,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,January,Minimum delay,3.225806451612903,3.225806451612903,False
2018-01-01,NATIONAL,CHAMBERY CHALLES LES EAUX,PARIS LYON,184.0,278.0,1.0,,149.0,15.00626398,8.019795427,,69.0,38.49082126,10.27063779,,60.0,10.27063779,26.0,12.0,24.13793103,17.24137931,32.75862069,20.68965517,3.448275862,1.724137931,2018,January,Minimum delay,0.3597122302158274,24.820143884892087,True
2018-01-01,NATIONAL,LYON PART DIEU,MARSEILLE ST CHARLES,107.0,539.0,7.0,,271.0,16.21242312,8.403414787,,114.0,39.73888889,9.378195489,,96.0,9.378195489,46.0,21.0,30.66666667,28.0,20.0,14.66666667,1.333333333,5.333333333,2018,January,Minimum delay,1.2987012987012987,21.150278293135436,False
2018-01-01,NATIONAL,MARNE LA VALLEE,MARSEILLE ST CHARLES,217.0,323.0,6.0,,181.0,12.37053407,7.174973712,,49.0,44.03129252,8.152208202,"7829 du 31 +81: collision de 7801
7827 du 20 +30: espacement suite incident porte 9736
7825 du 28 + 109: soin matériel roulant 7810",49.0,8.152208202,22.0,10.0,46.66666667,16.66666667,6.666666667,20.0,6.666666667,3.333333333,2018,January,Minimum delay,1.8575851393188854,15.170278637770899,False
2018-01-01,NATIONAL,PARIS LYON,ANNECY,225.0,199.0,1.0,,29.0,13.08390805,1.746632997,,21.0,41.0952381,7.090909091,Décontrôle d’aiguille à la bif de Créteil,21.0,7.090909091,10.0,5.0,19.04761905,33.33333333,19.04761905,28.57142857,0.0,0.0,2018,January,Minimum delay,0.5025125628140703,10.552763819095476,False
2018-01-01,NATIONAL,PARIS LYON,LE CREUSOT MONTCEAU MONTCHANIN,78.0,208.0,0.0,,18.0,10.46574074,0.502804487,,36.0,17.18009259,4.026282051,,14.0,4.026282051,8.0,0.0,20.0,32.0,24.0,20.0,4.0,0.0,2018,January,Minimum delay,0.0,17.307692307692307,False
2018-01-01,NATIONAL,PARIS LYON,MACON LOCHE,95.0,227.0,1.0,,31.0,14.99731183,1.88620944,,27.0,33.24382716,4.591814159,,23.0,4.591814159,13.0,3.0,12.0,44.0,4.0,36.0,4.0,0.0,2018,January,Minimum delay,0.4405286343612335,11.894273127753303,False
2018-01-01,NATIONAL,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,168.0,112.0,0.0,,13.0,9.105128205,0.653422619,,21.0,25.95952381,5.868154762,,14.0,5.868154762,5.0,2.0,16.66666667,38.88888889,22.22222222,16.66666667,5.555555556,0.0,2018,January,Minimum delay,0.0,18.75,False
